PAGE URL,Product Title,Quantity,p_element,Brand,Flavour,Format,Nicotine,td_element,Strenght
https://prilla.com/us/fre-nicotine-pouches,FRE Nicotine pouches,,,,,,,,
https://prilla.com/us/fre-nicotine-pouches/fre-lush-15mg,FRE Lush 15mg,20,If you prefer your nicotine pouch to have a refreshing tropical flavor together with notes of fruity sweetness then the FRE Lush 15 mg might be for your tastebuds. This delicious flavor profile is accompanied by pure power in the form of 15 mg of nicotine per pouch.,FRE,Fruit,Slim,15  mg/pouch,"Nu-X Ventures, LLC.",Extra Strong
https://prilla.com/us/fre-nicotine-pouches/fre-lush-12mg,FRE Lush 12mg,20,"FRE Lush 12 mg offers a rejuvenating tropical fruit flavor with ounces of sweetness, citrus sourness, and a cooling finish. It also delivers an intense kick due to its extra-strong nicotine content of 12 mg/pouch, making it best suited to well-versed users.",FRE,Mint,Slim,12  mg/pouch,"Nu-X Ventures, LLC.",
https://prilla.com/us/fre-nicotine-pouches/fre-lush-9mg,FRE Lush 9mg,20,"FRE Lush 9 mg will tantalize your taste buds with its delicious tropical fruit medley. It is bursting with sweetness and sourness and has a cooling finish, making this a product with a very fitting name. You can also expect a powerful kick from its strong nicotine content of 9 mg/pouch.",FRE,Fruit,Slim,9  mg/pouch,"Nu-X Ventures, LLC.",
https://prilla.com/us/fre-nicotine-pouches/fre-mint-12mg,FRE Mint 12mg,20,"FRE Mint 12 mg is the ultimate product for the well-versed mint fanatic seeking a powerful kick. It offers a crisp, icy-cool, fresh hit of mint in combination with an extra-strong nicotine content of 12 mg/pouch that guarantees an intense experience.",FRE,Mint,Slim,12  mg/pouch,"Nu-X Ventures, LLC.",
https://prilla.com/us/fre-nicotine-pouches/fre-mint-3mg,FRE Mint 3mg,20,FRE Mint 3mg is a fresh and ice-cold-tasting nicotine pouch with a low strength for those less experienced users who want a steady and not overwhelming sensation.,FRE,Mint,Slim,3  mg/pouch,"Nu-X Ventures, LLC.",Light
https://prilla.com/us/fre-nicotine-pouches/fre-mint-6mg,FRE Mint 6mg,20,"FRE Mint 6mg is one of the more popular pouches in this line. It has crisp, herbal, and icy notes — everything a mint pouch should be. Moreover, these nicotine pouches contain 6mg of nicotine, considered a more regular strength for everyday use, accommodating those new to this type of product.",FRE,Mint,Slim,6  mg/pouch,"Nu-X Ventures, LLC.",Normal
https://prilla.com/us/fre-nicotine-pouches/fre-mint-9mg,FRE Mint 9mg,20,"FRE Mint 9 mg offers a bold, crisp, and cooling mint taste that provides lasting freshness and synergizes exceptionally well with the strong nicotine content of 9 mg/pouch for a powerful, uplifting experience from start to finish.",FRE,Mint,Slim,9  mg/pouch,"Nu-X Ventures, LLC.",
https://prilla.com/us/fre-nicotine-pouches/fre-mint-mega-pack-12mg,FRE Mint Mega Pack 12mg,100,FRE Mint Mega Pack 12mg is a product for those who don’t want to have to deal with reordering FRE Mint because the twenty sachets go too quickly. That’s why this Mega Pack is here: to provide 100 pouches in a resealable bag for those who want to share and consume these potent pouches without fretting over how many they have left.,FRE,Mint,Slim,12  mg/pouch,"Nu-X Ventures, LLC.",Extra Strong
https://prilla.com/us/fre-nicotine-pouches/fre-mint-mega-pack-6mg,FRE Mint Mega Pack 6mg,100,"FRE Mint Mega Pack 6mg brings 100 of your favorite nicotine pouches in one bag. It can be used as a refill, and users can fill their cans up when they run out. Or, because the bag is resealable, you can just keep it with you when you want a FRE Mint 6mg. It’s convenient and ensures there is enough to share with friends.",FRE,Mint,Slim,6  mg/pouch,"Nu-X Ventures, LLC.",Normal
